aggregate,key,count,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity
head,0,1288,0.7245828817300237,1.3354017028177623e-05,0.999987781047821
head,1,1288,0.7241683463277776,1.2861170262112864e-07,0.9999849200248718
head,10,1288,0.7967947104176425,0.03838856890797615,0.9999871253967285
head,11,1288,0.766934017758657,0.0003533346171025187,0.9999969601631165
head,12,1288,0.7563710484381835,0.015369245782494545,0.9999306797981262
head,13,1288,0.7955813691018566,0.01029838714748621,0.9999919533729553
head,14,1288,0.8044196922593915,0.00016994345060084015,0.9999927878379822
head,15,1288,0.795288133682187,0.00019664868887048215,0.9999355673789978
head,16,1288,0.7663195932931874,0.015470368787646294,0.9999927878379822
head,17,1288,0.7714718528837038,0.0008794055320322514,0.9999918937683105
head,18,1288,0.798639310815516,0.00047149378224276006,0.9999829530715942
head,19,1288,0.788951193416883,0.002679157769307494,0.9999917149543762
head,2,1288,0.7260293019507077,7.129101931013793e-08,0.9999876022338867
head,20,1288,0.7987072058340176,0.00873897410929203,0.999982476234436
head,21,1288,0.7604592339587087,0.0008948332397267222,0.9999982714653015
head,22,1288,0.7780208661414988,1.340716551112564e-07,0.9999976754188538
head,23,1288,0.764625101052024,3.657590423244983e-05,0.999942421913147
head,3,1288,0.7992234456702045,0.0005189638468436897,0.9999799728393555
head,4,1288,0.7878023231149777,0.0006990897818468511,0.9999502301216125
head,5,1288,0.7978017036713134,0.0005858680815435946,0.9999881982803345
head,6,1288,0.7342635139704375,0.004835457541048527,0.9999927282333374
head,7,1288,0.7780532785297244,0.004407801665365696,0.9999926686286926
head,8,1288,0.7501753311376628,0.00015919697762001306,0.9999521970748901
head,9,1288,0.7788694346647548,0.017068523913621902,0.9999934434890747
layer,0,1104,0.18104105550397195,7.129101931013793e-08,0.741130530834198
layer,1,1104,0.24861934229535848,0.01234455406665802,0.5238157510757446
layer,10,1104,0.6296872409322426,0.0006990897818468511,0.9988799095153809
layer,11,1104,0.7109346189856718,0.028485918417572975,0.999764621257782
layer,12,1104,0.5463476104189834,0.0008794055320322514,0.9984853863716125
layer,13,1104,0.6738876005916556,0.00016994345060084015,0.9998006820678711
layer,14,1104,0.6699900424918223,1.3376096831052564e-05,0.9998674392700195
layer,15,1104,0.7926143374607963,0.0005189638468436897,0.999871015548706
layer,16,1104,0.8879124150826364,0.0011390353320166469,0.9999876022338867
layer,17,1104,0.868004790119206,0.016429541632533073,0.9998816251754761
layer,18,1104,0.8801838844661108,0.005182077642530203,0.9999141693115234
layer,19,1104,0.8900945666890407,0.001212693634442985,0.9999744892120361
layer,2,1104,0.9566067908165059,0.0289455596357584,0.9999976754188538
layer,20,1104,0.9740745134624667,0.059467196464538574,0.9999927282333374
layer,21,1104,0.9216849584353032,0.002679157769307494,0.9999774694442749
layer,22,1104,0.9455757378448691,0.011512001976370811,0.9999829530715942
layer,23,1104,0.8883536826326526,0.032702866941690445,0.99997478723526
layer,24,1104,0.7889608117891813,0.004407801665365696,0.9999927878379822
layer,25,1104,0.8637606196216834,0.015470368787646294,0.9999969601631165
layer,26,1104,0.7602411211561918,0.0028033670969307423,0.9999409317970276
layer,27,1104,0.7592000910048807,0.0003533346171025187,0.9997940063476562
layer,3,1104,0.98096381848597,0.2930072844028473,0.9999881982803345
layer,4,1104,0.9311283892467686,0.003378823399543762,0.9999982714653015
layer,5,1104,0.8399939750303494,0.006603769492357969,0.9999926686286926
layer,6,1104,0.8446746199402116,0.001536585041321814,0.9996912479400635
layer,7,1104,0.8165209222099056,0.03235822170972824,0.999833345413208
layer,8,1104,0.6895989248086272,0.00015919697762001306,0.999697208404541
layer,9,1104,0.693488556601485,0.015369245782494545,0.9997757077217102
layer_head,0/0,46,0.09986405875934393,1.3354017028177623e-05,0.6630411744117737
layer_head,0/1,46,0.021602660165764512,1.2861170262112864e-07,0.2958846092224121
layer_head,0/10,46,0.3337132443228494,0.07545112818479538,0.5800274014472961
layer_head,0/11,46,0.331426241637572,0.03137858211994171,0.5819276571273804
layer_head,0/12,46,0.14799074658557124,0.033285874873399734,0.39184126257896423
layer_head,0/13,46,0.3416032000728276,0.15000222623348236,0.5396723747253418
layer_head,0/14,46,0.2510498771848886,0.08433715999126434,0.5006917715072632
layer_head,0/15,46,0.11680230877770911,0.00019664868887048215,0.7319275736808777
layer_head,0/16,46,0.4149917445105055,0.19501076638698578,0.6276654601097107
layer_head,0/17,46,0.3572256994312224,0.05717833340167999,0.741130530834198
layer_head,0/18,46,0.12003705637091669,0.00047149378224276006,0.622943639755249
layer_head,0/19,46,0.09287825155922252,0.005567462183535099,0.3303891718387604
layer_head,0/2,46,0.043834371626508564,7.129101931013793e-08,0.2508328855037689
layer_head,0/20,46,0.12973101898703887,0.00873897410929203,0.6008816361427307
layer_head,0/21,46,0.245138436636847,0.00841780100017786,0.6666795015335083
layer_head,0/22,46,0.0022120891204344202,1.340716551112564e-07,0.0170107614248991
layer_head,0/23,46,0.010651822031080805,3.657590423244983e-05,0.06685985624790192
layer_head,0/3,46,0.10369372782904816,0.004019557498395443,0.27875685691833496
layer_head,0/4,46,0.08979295886314029,0.0013260568957775831,0.2989157438278198
layer_head,0/5,46,0.113831435685785,0.0005858680815435946,0.42706939578056335
layer_head,0/6,46,0.2529879505543605,0.08945982903242111,0.5274515151977539
layer_head,0/7,46,0.22369935753269363,0.007431777659803629,0.5081076622009277
