aggregate,key,count,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity
head,0,1288,0.6042308703553718,-0.28059524297714233,0.9996862411499023
head,1,1288,0.5918218112186064,-0.17804205417633057,0.9998955726623535
head,10,1288,0.6095675988728759,-0.1307360976934433,0.9586414098739624
head,11,1288,0.595785950765479,-0.31589987874031067,0.9952402114868164
head,12,1288,0.5905107457797413,-0.11683361232280731,0.9907906651496887
head,13,1288,0.5930762146497456,-0.25409868359565735,0.9873663187026978
head,14,1288,0.6149856510676258,-0.2522584795951843,0.9941970705986023
head,15,1288,0.5987897692759802,-0.44604742527008057,0.995520830154419
head,16,1288,0.5568515612130626,-0.4569137990474701,0.9791658520698547
head,17,1288,0.624376614919722,-0.48251479864120483,0.9951349496841431
head,18,1288,0.5695665789117692,-0.09595128893852234,0.9997442960739136
head,19,1288,0.5917456438457622,-0.29972055554389954,0.9937272667884827
head,2,1288,0.6089051243851268,-0.14865538477897644,0.9997634887695312
head,20,1288,0.5986989336970905,-0.2527890205383301,0.9965531826019287
head,21,1288,0.5857048411766842,-0.2570468783378601,0.998100996017456
head,22,1288,0.578086320027385,-0.2083696722984314,0.9819717407226562
head,23,1288,0.5715861570398538,-0.2185812145471573,0.9843354821205139
head,3,1288,0.5854953602527598,-0.5351818799972534,0.9981414675712585
head,4,1288,0.5891765246966055,-0.19826920330524445,0.9998690485954285
head,5,1288,0.5906435618710687,-0.349087655544281,0.9967775344848633
head,6,1288,0.5997910675609351,-0.3237588405609131,0.9912701845169067
head,7,1288,0.6136043252894219,-0.16030821204185486,0.997157633304596
head,8,1288,0.6080025070517177,-0.1749601662158966,0.9978925585746765
head,9,1288,0.6093406602414904,-0.0866626426577568,0.9976128339767456
layer,0,1104,0.934196737419436,0.6642669439315796,0.9998955726623535
layer,1,1104,0.7737830051531395,0.3966648578643799,0.98935866355896
layer,10,1104,0.6092399477501453,-0.17623208463191986,0.9215245246887207
layer,11,1104,0.5263760858481122,-0.22057940065860748,0.9834107756614685
layer,12,1104,0.5521159345622384,-0.29972055554389954,0.9536854028701782
layer,13,1104,0.5520368063361789,-0.25409868359565735,0.9474555850028992
layer,14,1104,0.5342032211065879,-0.18860091269016266,0.952850878238678
